runId,finalCensus,primarySuccessCount,optionalSuccessCount,maxStackHeight,totalAssets,adjacencyBonusTotal,boomRound,limiterMostHit,seed,policyCount,blightStart,blightEnd,blightClearedCount,stackSum,stacksAbove1,top3StackHeights,endgameSurgeRatio,maxSingleRoundGrowth,rewardPark,rewardMarket,rewardClinic,rewardTransit,rewardPolicy,totalSuitGrowth,totalAdjacencyGrowth,totalPolicyGrowth,totalEndgameBonus,blockedByMissionFail,blockedByJobs,blockedByServices,blockedByPotential,policyRewardsEarned,policiesApplied,assetRewardsEarned,assetsPlaced,rewardsWastedOrCapped,prestigeScore,prestigeMult,boomMult,endgameBase,endgameBonus,blightPenalty
68,215216,6,10,5,11,17,,Potential,1766085198527,0,0,1,1,66,16,5|5|5,0.822,11,4,4,3,0,2,27,17,0,0,10,0,0,12,2,0,11,11,Policy rewards not active (best-effort),57,1.137282594935156,1,17217,19581,0.18
69,485402,8,7,5,10,17,,Potential,1766085198529,1,0,0,0,67,16,5|5|5,1.054,14,1,3,4,3,4,26,17,0,23259.578737469998,0,0,0,0,4,1,11,10,Unplaced assets remaining (best-effort)|Policy rewards not active (best-effort),100,1.5436886682729853,1,87372,134875,0
70,793231,6,6,5,9,17,6,Potential,1766085198531,0,0,1,1,70,16,5|5|5,1.232,24,0,6,1,2,1,29,17,0,321913.0288456441,15,0,0,17,1,0,9,9,Policy rewards not active (best-effort),72,1.2796585863973085,1,63458,81205,0.18
71,410333,6,9,5,6,11,,Potential,1766085198534,1,0,0,2,69,16,5|5|5,1.004,16,1,2,2,2,4,28,11,0,0,7,11,0,6,4,1,7,6,Unplaced assets remaining (best-effort)|Policy rewards not active (best-effort),91,1.4139978865024547,1,73860,104438,0
72,76738,3,5,5,5,16,,Potential,1766085198536,0,1,3,2,63,16,5|5|5,0.461,14,2,1,1,1,0,20,16,0,0,27,0,0,36,0,0,5,5,,28,0.9385980689208979,1,6139,15000,0.54
73,834758,6,10,5,11,24,4,Potential,1766085198538,1,0,1,1,68,16,5|5|5,1.267,38,0,5,5,2,2,32,24,0,355780.50562851387,17,11,0,20,2,1,12,11,Unplaced assets remaining (best-effort)|Policy rewards not active (best-effort),94,1.4581030429496535,1,66781,97374,0.18
74,2586444,6,10,5,8,15,4,None,1766085198540,0,0,0,2,67,16,5|5|5,2.52,32,3,1,2,4,2,28,15,0,1556269.4491915016,10,15,13,0,2,0,10,8,Unplaced assets remaining (best-effort)|Policy rewards not active (best-effort),76,1.3247446018916162,2,206916,548222,0
75,402705,7,8,5,11,11,,Potential,1766085198543,1,0,0,1,70,16,5|5|5,1.003,12,3,3,6,1,1,21,11,0,0,3,0,0,4,1,1,13,11,Unplaced assets remaining (best-effort),91,1.4198778076603316,1,32216,45743,0
76,898370,6,9,5,8,18,7,Potential,1766085198545,1,0,0,2,63,15,5|5|5,1.444,22,2,3,3,1,2,32,18,0,273534.86787965195,13,0,0,6,2,1,9,8,Unplaced assets remaining (best-effort)|Policy rewards not active (best-effort),100,1.6,1,161707,258731,0
77,240417,6,6,5,7,17,,Potential,1766085198547,1,0,0,2,66,16,5|5|5,1.002,12,2,4,1,1,2,20,17,0,0,7,0,0,9,2,1,8,7,Unplaced assets remaining (best-effort)|Policy rewards not active (best-effort),87,1.374368827869417,1,43275,59476,0
78,809297,7,9,5,9,11,8,Potential,1766085198549,1,0,0,1,72,16,5|5|5,1.366,24,1,3,5,3,2,26,11,0,213745.9186692464,6,7,0,7,2,1,12,9,Unplaced assets remaining (best-effort)|Policy rewards not active (best-effort),100,1.5413967975412435,1,226603,349285,0
79,337061,6,11,5,10,18,,Potential,1766085198553,1,0,0,2,67,16,5|5|5,1.005,12,1,3,5,1,2,22,18,0,0,9,0,0,11,2,1,10,10,Policy rewards not active (best-effort),96,1.4711679099402515,1,94377,138844,0
80,486088,6,10,5,5,18,,Potential,1766085198555,1,1,0,2,68,16,5|5|5,1.056,15,2,0,3,2,4,21,18,0,23259.578737469998,3,4,0,3,4,1,7,5,Unplaced assets remaining (best-effort)|Policy rewards not active (best-effort),100,1.5427345633198424,1,87496,134983,0
81,336566,7,10,5,13,11,,Jobs,1766085198557,0,0,0,1,71,16,5|5|5,1.003,15,1,3,4,6,0,25,11,0,0,4,34,0,0,0,0,14,13,Unplaced assets remaining (best-effort),63,1.1888961435446141,1,26925,32011,0
82,459015,7,6,5,4,17,,Potential,1766085198559,1,0,0,1,71,16,5|5|5,1.03,11,1,1,1,1,7,25,17,0,12157.823389288618,3,0,0,4,7,1,4,4,Policy rewards not active (best-effort),99,1.5117936331537665,1,128524,194302,0
83,410596,6,9,5,10,17,,Potential,1766085198562,1,0,0,2,65,16,5|5|5,1.004,16,2,4,3,2,1,23,17,0,0,9,0,0,11,1,1,11,10,Unplaced assets remaining (best-effort),97,1.4916548455027698,1,32848,48998,0
84,425986,6,10,5,6,10,,Potential,1766085198564,1,1,0,2,69,16,5|5|5,1.006,15,2,2,2,0,6,24,10,0,1323,8,0,0,10,6,1,6,6,Policy rewards not active (best-effort),91,1.415215506087801,1,76677,108514,0
85,343583,6,10,5,9,16,,Jobs,1766085198566,1,0,0,2,63,16,5|5|5,1.002,17,2,4,2,1,3,23,16,0,0,14,25,0,0,3,1,9,9,Policy rewards not active (best-effort),93,1.4443609207807935,1,27487,39701,0
86,351731,5,5,5,2,10,,Potential,1766085198568,1,0,0,3,68,16,5|5|5,1.005,15,2,0,0,2,3,24,10,0,0,13,0,0,8,3,1,4,2,Unplaced assets remaining (best-effort)|Policy rewards not active (best-effort),83,1.3281725921078489,1,63312,84089,0
87,875729,5,8,5,5,24,4,Potential,1766085198571,1,0,1,2,71,16,5|5|5,1.3,26,1,2,1,1,3,26,24,0,390902.7404988706,23,0,0,17,3,1,5,5,Policy rewards not active (best-effort),100,1.5549389286465196,1,245204,381277,0.18
88,167224,5,10,5,5,11,,Potential,1766085198573,1,0,0,3,67,16,5|5|5,1.005,9,1,2,2,0,4,20,11,0,0,10,10,0,10,4,1,5,5,Policy rewards not active (best-effort),77,1.2704770716265963,1,13378,16996,0
89,529251,8,8,5,12,17,,Potential,1766085198575,1,0,0,0,68,16,5|5|5,1.097,12,2,4,6,1,3,20,17,0,44498.7548940059,0,0,0,0,3,1,13,12,Unplaced assets remaining (best-effort)|Policy rewards not active (best-effort),100,1.5642130102193765,1,95265,149015,0
90,357560,5,12,5,11,16,,Potential,1766085198577,1,0,1,2,71,16,5|5|5,0.83,16,2,2,3,4,1,29,16,0,4010.5860349865134,23,16,2,9,1,1,11,11,,87,1.375230756430739,1,64361,88511,0.18
91,124788,4,11,5,7,18,,Jobs,1766085198579,1,0,1,2,71,16,5|5|5,0.823,10,0,5,2,0,1,29,18,0,0,23,52,0,0,1,1,7,7,,76,1.2552289340554894,1,9983,15000,0.18
92,437410,6,6,5,7,17,,Potential,1766085198582,0,0,0,2,64,16,5|5|5,1.015,13,1,5,1,1,1,32,17,0,4010.5860349865134,11,0,0,4,1,0,8,7,Unplaced assets remaining (best-effort)|Policy rewards not active (best-effort),71,1.2666478771068643,1,34993,44324,0
